row_id,dname_drug1,dname_drug2,cell_line_name,disease_cui
0,5-Fluorouracil,Bortezomib,HT29,C0338106
1,5-Fluorouracil,Bortezomib,HT29,C0338106
2,5-Fluorouracil,Bortezomib,HT29,C0338106
3,5-Fluorouracil,Bortezomib,HT29,C0338106
4,5-Fluorouracil,Dasatinib,HT29,C0338106
5,5-Fluorouracil,Dasatinib,HT29,C0338106
6,5-Fluorouracil,Dasatinib,HT29,C0338106
7,5-Fluorouracil,Dasatinib,HT29,C0338106
8,5-Fluorouracil,Erlotinib,HT29,C0338106
9,5-Fluorouracil,Erlotinib,HT29,C0338106
10,5-Fluorouracil,Erlotinib,HT29,C0338106
11,5-Fluorouracil,Erlotinib,HT29,C0338106
12,5-Fluorouracil,Lapatinib,HT29,C0338106
13,5-Fluorouracil,Lapatinib,HT29,C0338106
14,5-Fluorouracil,Lapatinib,HT29,C0338106
15,5-Fluorouracil,Lapatinib,HT29,C0338106
16,5-Fluorouracil,Sorafenib,HT29,C0338106
17,5-Fluorouracil,Sorafenib,HT29,C0338106
18,5-Fluorouracil,Sorafenib,HT29,C0338106
19,5-Fluorouracil,Sorafenib,HT29,C0338106
20,5-Fluorouracil,Sunitinib,HT29,C0338106
21,5-Fluorouracil,Sunitinib,HT29,C0338106
22,5-Fluorouracil,Sunitinib,HT29,C0338106
23,5-Fluorouracil,Sunitinib,HT29,C0338106
24,5-Fluorouracil,Vorinostat,HT29,C0338106
25,5-Fluorouracil,Vorinostat,HT29,C0338106
26,5-Fluorouracil,Vorinostat,HT29,C0338106
27,5-Fluorouracil,Vorinostat,HT29,C0338106
28,Bortezomib,Dasatinib,HT29,C0338106
29,Bortezomib,Dasatinib,HT29,C0338106
30,Bortezomib,Dasatinib,HT29,C0338106
31,Bortezomib,Dasatinib,HT29,C0338106
32,Bortezomib,Sorafenib,HT29,C0338106
33,Bortezomib,Sorafenib,HT29,C0338106
34,Bortezomib,Sorafenib,HT29,C0338106
35,Bortezomib,Sorafenib,HT29,C0338106
36,Dasatinib,Sorafenib,HT29,C0338106
37,Dasatinib,Sorafenib,HT29,C0338106
38,Dasatinib,Sorafenib,HT29,C0338106
39,Dasatinib,Sorafenib,HT29,C0338106
40,doxorubicin,Bortezomib,HT29,C0338106
41,doxorubicin,Bortezomib,HT29,C0338106
42,doxorubicin,Bortezomib,HT29,C0338106
43,doxorubicin,Bortezomib,HT29,C0338106
44,doxorubicin,Dasatinib,HT29,C0338106
45,doxorubicin,Dasatinib,HT29,C0338106
46,doxorubicin,Dasatinib,HT29,C0338106
47,doxorubicin,Dasatinib,HT29,C0338106
48,doxorubicin,Erlotinib,HT29,C0338106
49,doxorubicin,Erlotinib,HT29,C0338106
