dname_drug1,chembl_id_drug1,dname_drug2,chembl_id_drug2,cell_line_name,NCI_thesaurus_code,disease_cui
5-Fluorouracil,CHEMBL185,Veliparib,CHEMBL506871,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Veliparib,CHEMBL506871,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Veliparib,CHEMBL506871,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Veliparib,CHEMBL506871,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,MK-1775,CHEMBL1976040,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,MK-1775,CHEMBL1976040,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,MK-1775,CHEMBL1976040,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,MK-1775,CHEMBL1976040,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,915019-65-7,CHEMBL1879463,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,915019-65-7,CHEMBL1879463,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,915019-65-7,CHEMBL1879463,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,915019-65-7,CHEMBL1879463,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Bortezomib,CHEMBL325041,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Bortezomib,CHEMBL325041,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Bortezomib,CHEMBL325041,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Bortezomib,CHEMBL325041,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Dasatinib,CHEMBL1421,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Dasatinib,CHEMBL1421,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Dasatinib,CHEMBL1421,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Dasatinib,CHEMBL1421,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Dinaciclib,CHEMBL2103840,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Dinaciclib,CHEMBL2103840,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Dinaciclib,CHEMBL2103840,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Dinaciclib,CHEMBL2103840,A375,C3802,C0206735
5-Fluorouracil,CHEMBL185,Erlotinib,CHEMBL553,A375,C3802,C0206735
