name,idSample,tissue,sex,age,disease,idCellosaurus,origin
K-562,1,blood,F,53.0,Chronic myelogenous leukemia,CVCL_0004,
MOLT-4,2,blood,M,19.0,Adult T acute lymphoblastic leukemia,CVCL_0013,
RPMI-8226,3,blood,M,61.0,Plasma cell myeloma,CVCL_0014,
U-251MG,4,brain,M,75.0,Astrocytoma,CVCL_0021,
A-549,5,lung,M,58.0,Lung adenocarcinoma,CVCL_0023,
MCF-7,6,breast,F,69.0,Invasive ductal carcinoma,CVCL_0031,Pleural effusion
PC-3,7,prostate,M,62.0,Prostate carcinoma,CVCL_0035,Bone
SK-MEL-30,8,skin,M,67.0,Cutaneous melanoma,CVCL_0039,
MDA-MB-231,9,breast,F,51.0,Breast adenocarcinoma,CVCL_0062,Pleural effusion
SK-MEL-2,10,skin,M,60.0,Melanoma,CVCL_0069,Thigh skin
DU145,11,prostate,M,69.0,Prostate carcinoma,CVCL_0105,Brain
A-375,12,skin,F,54.0,Amelanotic melanoma,CVCL_0132,
A2780,13,ovary,F,,Ovarian endometrioid adenocarcinoma,CVCL_0134,
Caov-3,14,ovary,F,54.0,High grade ovarian serous adenocarcinoma,CVCL_0201,
CCRF-CEM,15,blood,F,3.0,Childhood T acute lymphoblastic leukemia,CVCL_0207,
COLO 205,16,colorectal,M,70.0,Colon adenocarcinoma,CVCL_0218,Ascites
COLO 320DM,17,colorectal,F,55.0,Colon adenocarcinoma,CVCL_0219,
Caki-1,18,kidney,M,49.0,Clear cell renal cell carcinoma ,CVCL_0234,Skin
DLD-1,19,colorectal,M,,Colon adenocarcinoma,CVCL_0248,
HCT 116,20,colorectal,M,48.0,Colon carcinoma,CVCL_0291,
HCT 15,21,colorectal,M,,Colon adenocarcinoma,CVCL_0292,
HT-144,22,skin,M,29.0,Melanoma,CVCL_0318,Subcutaneous
HT-29,23,colorectal,F,44.0,Rectosigmoid adenocarcinoma,CVCL_0320,
Hs 578T,24,breast,F,74.0,Invasive ductal carcinoma,CVCL_0332,
LNCaP,25,prostate,M,50.0,Prostate carcinoma,CVCL_0395,Left supraclavicular lymph node
LoVo,26,colorectal,M,56.0,Colon adenocarcinoma,CVCL_0399,Left supraclavicular lymph node
