name,atcCode,idDrugBank,idPubChem,idDrug,smiles,inchikey,dataset_names
(E)-3-Tosylacrylonitrile,,,5353431,190,CC1=CC=C(C=C1)S(=O)(=O)C=CC#N,DOEWDSDBFRHVAP-KRXBUXKQSA-N,"STANFORD,YALE-TNBC"
1-Hexadecanol,,DB09494,2682,375,CCCCCCCCCCCCCCCCO,BXWNKGSJHAJOGX-UHFFFAOYSA-N,STANFORD
10-Deacetylbaccatin III,,,154272,376,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)O,YWLXLRUDGLRYDR-ZHPRIASZSA-N,STANFORD
"2,4,5-Trimethoxybenzaldehyde",,,20525,527,COC1=CC(=C(C=C1C=O)OC)OC,IAJBQAYHSQIQRE-UHFFFAOYSA-N,STANFORD
"2,4-Bisanilinopyrimidine, 10",,,44139710,540,CCN1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F,AKSIZPIFQAYJGF-UHFFFAOYSA-N,STANFORD
2-Aminothiazole,,,2155,487,C1=CSC(=N1)N,RAIPHJJURHTUIC-UHFFFAOYSA-N,STANFORD
2-deoxy-D-glucose,,,,185,,N,YALE-TNBC
2-Methoxyestradiol,,,66414,378,CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O,CQOQDQWUFQDJMK-SSTWWWIQSA-N,STANFORD
2-Methyladenine,,,15048,383,CC1=NC(=C2C(=N1)N=CN2)N,SMADWRYCYBUIKH-UHFFFAOYSA-N,STANFORD
2-Nitroimidazole,,,10701,556,C1=CN=C(N1)[N+](=O)[O-],YZEUHQHUFTYLPH-UHFFFAOYSA-N,STANFORD
2-Thiouracil,,,1269845,379,C1=CNC(=S)NC1=O,ZEMGGZBWXRYJHK-UHFFFAOYSA-N,STANFORD
20-Hydroxyecdysone,,,5459840,380,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O,NKDFYOWSKOHCCO-YPVLXUMRSA-N,STANFORD
3-Aminobenzamide,,,1645,1101,C1=CC(=CC(=C1)N)C(=O)N,GSCPDZHWVNUUFI-UHFFFAOYSA-N,STANFORD
3-Deazaneplanocin,,,73087,381,C1=CN=C(C2=C1N(C=N2)C3C=C(C(C3O)O)CO)N,OMKHWTRUYNAGFG-IEBDPFPHSA-N,STANFORD
4-Chloro-3-methylphenol,,,1732,720,CC1=C(C=CC(=C1)O)Cl,CFKMVGJGLGKFKI-UHFFFAOYSA-N,STANFORD
4-Methoxyphenol,D11AX06,DB09516,9015,1286,COC1=CC=C(C=C1)O,NWVVVBRKAWDGAB-UHFFFAOYSA-N,STANFORD
405554-55-4,,,49867937,1678,CC1=CC=C(C=C1)C(=O)N(CCCN)C(C2=C(C(=O)C3=C(O2)C=C(C=C3)Cl)CC4=CC=CC=C4)C(C)C.Cl,MLMZVWABFOLFGV-LNLSOMNWSA-N,STANFORD
5-Hydroxytryptophan,,,144,388,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,LDCYZAJDBXYCGN-UHFFFAOYSA-N,STANFORD
5-Nonyloxytryptamine oxalate,,,10126593,186,CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN.C(=O)(C(=O)O)O,JORSCLBFSAAOFR-UHFFFAOYSA-N,YALE-TNBC
"6,7-Dimethoxy-3-phenylquinoxaline",,,2049,1904,COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC,QNOXYUNHIGOWNY-UHFFFAOYSA-N,STANFORD
6-Bromoindirubin-3'-oxime,,,448949,563,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=CC(=C4)Br)O)N=O,SAQUSDSPQYQNBG-UHFFFAOYSA-N,STANFORD
7-Aminocephalosporanic acid,,,441328,389,CC(=O)OCC1=C(N2C(C(C2=O)N)SC1)C(=O)O,HSHGZXNAXBPPDL-HZGVNTEJSA-N,STANFORD
8-Azaguanine,,,135403646,390,C12=NNN=C1N=C(NC2=O)N,LPXQRXLUHJKZIE-UHFFFAOYSA-N,STANFORD
A-205804,,,9839311,391,CC1=CC=C(C=C1)SC2=C3C=C(SC3=CN=C2)C(=O)N,QQGWEXFLMJGCAL-UHFFFAOYSA-N,STANFORD
A-674563,,,11314340,392,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC=CC=C4)N,BPNUQXPIQBZCMR-IBGZPJMESA-N,STANFORD
A-769662,,,54708532,297,C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=CSC4=C3C(=C(C(=O)N4)C#N)O)O,CTESJDQKVOEUOY-UHFFFAOYSA-N,"STANFORD,MIT-MELANOMA"
A-803467,,,16038374,394,COC1=CC(=CC(=C1)NC(=O)C2=CC=C(O2)C3=CC=C(C=C3)Cl)OC,VHKBTPQDHDSBSP-UHFFFAOYSA-N,STANFORD
A-922500,,,24768261,396,C1CC(C(C1)C(=O)O)C(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4,BOZRFEQDOFSZBV-DHIUTWEWSA-N,STANFORD
A66,,,42636535,395,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CSC(=N3)C(C)(C)C,HBPXWEPKNBHKAX-NSHDSACASA-N,STANFORD
Abemaciclib mesylate,,,71576678,1187,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F.CS(=O)(=O)O,NCJPFQPEVDHJAZ-UHFFFAOYSA-N,STANFORD
Abiraterone,L02BX03,DB05812,132971,2018,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,GZOSMCIZMLWJML-VJLLXTKPSA-N,NCI-ALMANAC
Abiraterone acetate,,,9821849,439,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,UVIQSJCZCSLXRZ-UBUQANBQSA-N,STANFORD
Abt-737,,,11228183,397,CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],HPLNQCPCUACXLM-PGUFJCEWSA-N,STANFORD
Abt-751,,DB12254,3035714,398,COC1=CC=C(C=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O,URCVCIZFVQDVPM-UHFFFAOYSA-N,STANFORD
Acadesine,,,17513,440,C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N,RTRQQBHATOEIAF-UUOKFMHZSA-N,STANFORD
Acarbose,,,41774,441,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,XUFXOAAUWZOOIT-UGEKTDRHSA-N,STANFORD
Acebutolol hydrochloride,,,441307,442,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl,KTUFKADDDORSSI-UHFFFAOYSA-N,STANFORD
Aceclidine hydrochloride,,,170367,443,CC(=O)OC1CN2CCC1CC2.Cl,LWWSARSTZGNKGV-UHFFFAOYSA-N,STANFORD
Acemetacin,,,1981,444,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,FSQKKOOTNAMONP-UHFFFAOYSA-N,STANFORD
Acesulfame potassium,,,11074431,445,CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],WBZFUFAFFUEMEI-UHFFFAOYSA-M,STANFORD
Acetanilide,,,904,446,CC(=O)NC1=CC=CC=C1,FZERHIULMFGESH-UHFFFAOYSA-N,STANFORD
Acetarsol,,,1985,447,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,ODFJOVXVLFUVNQ-UHFFFAOYSA-N,STANFORD
Acetovanillone,,DB12618,2214,515,CC(=O)C1=CC(=C(C=C1)O)OC,DFYRUELUNQRZTB-UHFFFAOYSA-N,STANFORD
