Pipeline,Model,Feature Selection,Preprocessing,Avg R2 (CV),Std R2 (CV),Avg RMSE (CV),Avg MAE (CV),Avg MedAE (CV),Test R2,Test RMSE,Test MAE,Test MedAE,Best Selected Features,Best Hyperparameters
1,logreg,,normalized,0.0181,0.0096,6.2619,4.6665,3.549,-0.1214,6.2797,5.0829,4.4177,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 10}
2,logreg,,raw,0.0226,0.008,6.248,4.6586,3.5051,-0.2129,6.5307,5.2696,4.75,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 1}
3,logreg,selectkbest,normalized,0.007,0.0014,6.2982,4.7331,3.6255,0.078,5.694,4.4717,3.856,"['latent_0_drug1', 'latent_1_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2']",{'model__alpha': 0.01}
4,logreg,selectkbest,raw,0.0074,0.002,6.2969,4.7279,3.6347,0.0588,5.7532,4.5521,4.1395,"['latent_0_drug1', 'latent_1_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2']",{'model__alpha': 10}
5,logreg,wrapper,normalized,0.0225,0.0113,6.2487,4.6661,3.502,-0.1071,6.2396,5.0576,4.3897,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 10}
6,logreg,wrapper,raw,0.0179,0.0088,6.2628,4.6695,3.5287,0.0306,5.8387,4.6092,4.1207,"['latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 10}
7,rf,,normalized,0.487,0.0275,4.5213,3.3927,2.591,-0.2135,6.5324,5.3346,4.2347,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']","{'model__n_estimators': 300, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20}"
8,rf,,raw,0.4827,0.0306,4.5394,3.4008,2.6312,-0.2282,6.5717,5.3858,4.4532,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']","{'model__n_estimators': 400, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 15}"
9,rf,selectkbest,normalized,0.4638,0.022,4.6239,3.4565,2.7142,-0.3042,6.7722,5.6096,4.8134,"['latent_0_drug1', 'latent_1_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2']","{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 15}"
10,rf,selectkbest,raw,0.473,0.0151,4.5857,3.4313,2.6398,-0.2412,6.6066,5.4564,4.5242,"['latent_0_drug1', 'latent_1_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2']","{'model__n_estimators': 200, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 25}"
