Pipeline,Model,Feature Selection,Preprocessing,Avg R2 (CV),Std R2 (CV),Avg RMSE (CV),Avg MAE (CV),Avg MedAE (CV),Test R2,Test RMSE,Test MAE,Test MedAE,Best Selected Features,Best Hyperparameters
1,logreg,,normalized,0.204,0.0108,5.6399,4.3038,3.2941,-0.1097,6.2467,5.2606,4.9774,"['drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']",{'model__alpha': 1}
2,logreg,,raw,0.204,0.0108,5.6399,4.3038,3.2941,-0.1097,6.2467,5.2606,4.9774,"['drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']",{'model__alpha': 1}
3,logreg,selectkbest,normalized,0.1467,0.0373,5.8405,4.4191,3.4768,-0.9939,8.3735,7.34,7.5885,"['drug2_target_count', 'oc_dis_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']",{'model__alpha': 1}
4,logreg,selectkbest,raw,0.1467,0.0373,5.8405,4.4191,3.4768,-0.9939,8.3735,7.34,7.5885,"['drug2_target_count', 'oc_dis_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']",{'model__alpha': 1}
5,logreg,wrapper,normalized,0.1405,0.0193,5.8608,4.4302,3.4417,-0.3012,6.7644,5.6972,5.3475,"['drug1_target_count', 'oc_drug1_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'ratio_links_dis_dru2']",{'model__alpha': 1}
6,logreg,wrapper,raw,0.1405,0.0193,5.8608,4.4302,3.4417,-0.3012,6.7644,5.6972,5.3475,"['drug1_target_count', 'oc_drug1_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'ratio_links_dis_dru2']",{'model__alpha': 1}
7,rf,,normalized,0.4719,0.0376,4.5848,3.427,2.7132,-0.0418,6.0526,5.0167,4.625,"['drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']","{'model__n_estimators': 400, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 25}"
8,rf,,raw,0.4778,0.0387,4.5586,3.4123,2.7376,-0.0364,6.0369,4.9845,4.3979,"['drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']","{'model__n_estimators': 400, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 25}"
9,rf,selectkbest,normalized,0.3478,0.0735,5.0899,3.8186,2.9582,-0.4808,7.2162,6.1493,5.3766,"['drug2_target_count', 'oc_dis_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']","{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 20}"
10,rf,selectkbest,raw,0.3423,0.0764,5.1102,3.8256,2.9756,-0.5253,7.3236,6.2141,5.6267,"['drug2_target_count', 'oc_dis_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']","{'model__n_estimators': 200, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20}"
