Pipeline,Model,Feature Selection,Preprocessing,R2,R2_CV,MAE,MSE,RMSE,MedAE,Selected Features
1,logreg,,normalized,-0.4592,-0.6044,6.0313,51.3142,7.1634,5.7914,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']"
2,logreg,,raw,-0.1495,-0.5752,5.2751,40.4233,6.3579,5.3386,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']"
3,logreg,selectkbest,normalized,-0.7597,-0.7042,6.866,61.8812,7.8665,6.6162,"['latent_0_drug1', 'latent_4_drug1', 'drug2_target_count', 'oc_dis_drug2', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']"
4,logreg,selectkbest,raw,-0.7597,-0.7042,6.8659,61.8802,7.8664,6.6162,"['latent_0_drug1', 'latent_4_drug1', 'drug2_target_count', 'oc_dis_drug2', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']"
5,logreg,wrapper,normalized,-0.4812,-0.6052,6.2147,52.0867,7.2171,5.8085,"['latent_3_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_std_dis_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'ratio_links_dis_dru2']"
6,logreg,wrapper,raw,-0.478,-0.5857,6.2343,51.9741,7.2093,5.8958,"['latent_4_drug1', 'latent_3_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_std_dis_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'ratio_links_dis_dru2']"
7,rf,,normalized,-0.8191,-0.4055,6.631,63.9687,7.998,6.2238,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']"
8,rf,,raw,-0.651,-0.4184,6.3343,58.056,7.6194,5.9068,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']"
9,rf,selectkbest,normalized,-0.3653,-0.5889,5.9129,48.0091,6.9289,6.3572,"['latent_0_drug1', 'latent_4_drug1', 'drug2_target_count', 'oc_dis_drug2', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']"
10,rf,selectkbest,raw,-0.4857,-0.586,6.2065,52.2446,7.228,6.6199,"['latent_0_drug1', 'latent_4_drug1', 'drug2_target_count', 'oc_dis_drug2', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']"
11,rf,wrapper,normalized,-1.1478,-0.4462,6.9406,75.5267,8.6906,6.2464,"['latent_1_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'Dc_mean_dis_dru1', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'sep_mean_dru1_dru2', 'zscore_dru1_dru2']"
12,rf,wrapper,raw,-0.9801,-0.4738,6.9247,69.6289,8.3444,6.1485,"['latent_3_drug1', 'latent_4_drug1', 'latent_1_drug2', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'sep_mean_dru1_dru2', 'zscore_dru1_dru2']"
13,xgb,,normalized,-0.6647,-0.4337,6.243,58.5391,7.6511,5.5922,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']"
14,xgb,,raw,-0.6647,-0.4337,6.243,58.5391,7.6511,5.5922,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']"
15,xgb,selectkbest,normalized,-0.9018,-0.6146,6.8354,66.8779,8.1779,6.5381,"['latent_0_drug1', 'latent_4_drug1', 'drug2_target_count', 'oc_dis_drug2', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']"
16,xgb,selectkbest,raw,-0.9018,-0.6146,6.8354,66.8779,8.1779,6.5381,"['latent_0_drug1', 'latent_4_drug1', 'drug2_target_count', 'oc_dis_drug2', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']"
17,xgb,wrapper,normalized,-1.704,-0.4966,7.4353,95.0869,9.7513,4.7123,"['latent_3_drug1', 'drug2_target_count', 'proteins_in_LCC', 'oc_dis_drug1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'obs_sep_dru1_dru2', 'zscore_dru1_dru2']"
18,xgb,wrapper,raw,-1.704,-0.4966,7.4353,95.0869,9.7513,4.7123,"['latent_3_drug1', 'drug2_target_count', 'proteins_in_LCC', 'oc_dis_drug1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'obs_sep_dru1_dru2', 'zscore_dru1_dru2']"
