Pipeline,Model,Feature Selection,Preprocessing,Avg R2 (CV),Std R2 (CV),Avg RMSE (CV),Avg MAE (CV),Avg MedAE (CV),Test R2,Test RMSE,Test MAE,Test MedAE,Best Selected Features,Best Hyperparameters
1,logreg,,normalized,0.2105,0.0162,5.6145,4.3066,3.3753,-0.9724,8.3282,6.8518,6.448,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']",{'model__alpha': 1}
2,logreg,,raw,0.2118,0.0143,5.6104,4.3064,3.3656,-0.6483,7.6134,6.4462,6.2482,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']",{'model__alpha': 1}
3,logreg,selectkbest,normalized,0.1611,0.0494,5.7911,4.3876,3.383,-0.8238,8.0084,6.9915,7.2708,"['latent_0_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_3_drug2', 'drug2_target_count', 'oc_dis_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']",{'model__alpha': 1}
4,logreg,selectkbest,raw,0.1551,0.0427,5.8113,4.4045,3.4086,-0.8243,8.0094,6.9895,7.2806,"['latent_0_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_3_drug2', 'drug2_target_count', 'oc_dis_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']",{'model__alpha': 1}
5,logreg,wrapper,normalized,0.1629,0.0207,5.7833,4.3838,3.4852,-0.5082,7.2825,6.2764,6.1027,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_4_drug1', 'latent_3_drug2', 'oc_dis_drug1', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_std_dis_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'ratio_links_dis_dru2']",{'model__alpha': 1}
6,logreg,wrapper,raw,0.1582,0.0202,5.7987,4.3918,3.4042,-0.4431,7.1237,6.0963,5.928,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_3_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_std_dis_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'ratio_links_dis_dru2']",{'model__alpha': 1}
7,rf,,normalized,0.518,0.0209,4.3842,3.2759,2.5979,-0.1281,6.2983,5.1197,4.795,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']","{'model__n_estimators': 200, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20}"
8,rf,,raw,0.515,0.0213,4.398,3.2764,2.5406,-0.1605,6.3882,5.2354,4.9398,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2', 'drug1_target_count', 'drug2_target_count', 'proteins_in_LCC', 'oc_drug1_drug2', 'oc_dis_drug1', 'oc_dis_drug2', 'min_spl_dis_dru1', 'Closest_distance_dis_dru1', 'Dc_mean_dis_dru1', 'Dc_std_dis_dru1', 'Dc_zscore_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2', 'obs_sep_dru1_dru2', 'sep_mean_dru1_dru2', 'sep_std_dru1_dru2', 'zscore_dru1_dru2', 'ratio_links_dis_dru2']","{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 15}"
9,rf,selectkbest,normalized,0.451,0.057,4.677,3.4986,2.7083,-0.3838,6.9757,5.9165,5.6398,"['latent_0_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_3_drug2', 'drug2_target_count', 'oc_dis_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']","{'model__n_estimators': 400, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20}"
10,rf,selectkbest,raw,0.4571,0.0558,4.6509,3.4766,2.7126,-0.4549,7.1528,6.0779,5.8851,"['latent_0_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_3_drug2', 'drug2_target_count', 'oc_dis_drug2', 'Closest_distance_dis_dru1', 'Dc_std_dis_dru1', 'min_spl_dis_dru2', 'Closest_distance_dis_dru2', 'Dc_mean_dis_dru2', 'Dc_std_dis_dru2', 'Dc_zscore_dis_dru2', 'min_spl_dru1_dru2']","{'model__n_estimators': 200, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 25}"
