Pipeline,Model,Feature Selection,Preprocessing,Avg R2 (CV),Std R2 (CV),Avg RMSE (CV),Avg MAE (CV),Avg MedAE (CV),Test R2,Test RMSE,Test MAE,Test MedAE,Best Selected Features,Best Hyperparameters
1,logreg,,normalized,0.155,0.0231,12.3892,8.3552,5.61,-0.7106,10.237,7.1515,4.4759,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 1}
2,logreg,,raw,0.1564,0.025,12.3778,8.3475,5.6459,-0.65,10.0542,7.0088,4.5108,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 1}
3,logreg,selectkbest,normalized,0.1554,0.0196,12.3867,8.3388,5.5423,-0.7966,10.4913,7.1872,4.3024,"['latent_0_drug1', 'latent_1_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 10}
4,logreg,selectkbest,raw,0.1595,0.0223,12.3558,8.3342,5.6976,-0.6908,10.1778,6.9875,4.0568,"['latent_0_drug1', 'latent_1_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 10}
5,logreg,wrapper,normalized,0.1563,0.0243,12.3792,8.3518,5.6156,-0.7505,10.3558,7.2369,4.5264,"['latent_0_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 1}
6,logreg,wrapper,raw,0.1576,0.0267,12.3688,8.3462,5.6757,-0.7244,10.2782,7.1539,4.553,"['latent_0_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']",{'model__alpha': 1}
7,rf,,normalized,0.3839,0.0091,10.5822,6.7136,4.1747,-1.2008,11.6116,8.2452,5.5608,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']","{'model__n_estimators': 400, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20}"
8,rf,,raw,0.381,0.0102,10.6065,6.7311,4.1763,-1.166,11.5196,8.0878,5.3751,"['latent_0_drug1', 'latent_1_drug1', 'latent_2_drug1', 'latent_3_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']","{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 25}"
9,rf,selectkbest,normalized,0.3846,0.0265,10.5682,6.6936,4.1087,-1.2217,11.6666,8.2448,5.0714,"['latent_0_drug1', 'latent_1_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']","{'model__n_estimators': 200, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20}"
10,rf,selectkbest,raw,0.3743,0.026,10.6553,6.77,4.2503,-1.311,11.8987,8.4682,5.0971,"['latent_0_drug1', 'latent_1_drug1', 'latent_4_drug1', 'latent_0_drug2', 'latent_1_drug2', 'latent_2_drug2', 'latent_3_drug2', 'latent_4_drug2']","{'model__n_estimators': 400, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 25}"
